log_id, prime, factor, energy
20231007181217, 45533, 12231, 24.0
20231007181217, 53047, 11005, 24.0
20231007181217, 46027, 8652, 25.0
20231007181217, 62683, 11461, 25.0
20231007181217, 15667, 15061, 25.0
20231007181217, 48767, 2031, 25.0
20231007181217, 61417, 16215, 25.0
20231007181217, 63467, 10863, 25.0
20231007181217, 61687, 12063, 25.0
20231007181217, 50069, 12011, 25.0
20231007181217, 32363, 8157, 26.0
20231007181217, 60383, 8003, 26.0
20231007181217, 51787, 10631, 26.0
20231007181217, 12577, 16357, 26.0
20231007181217, 48589, 1741, 26.0
20231007181217, 27449, 13881, 26.0
20231007181217, 8581, 13937, 26.0
20231007181217, 45307, 8447, 27.0
20231007181217, 40169, 4827, 28.0
20231007181217, 49789, 6477, 28.0
20231007181217, 13807, 14893, 29.0
20231007181217, 59069, 5076, 29.0
20231007181217, 4603, 15199, 29.0
20231007181217, 8693, 10849, 30.0
20231007181217, 49877, 15951, 31.0
20231007181238, 61651, 4604, 13.0
20231007181238, 57251, 14202, 14.0
20231007181238, 33619, 7787, 14.0
20231007181238, 64081, 10058, 14.0
20231007181238, 35363, 13647, 14.0
20231007181238, 28631, 16331, 15.0
20231007181238, 26713, 10730, 15.0
20231007181238, 57697, 15214, 15.0
20231007181238, 28871, 14686, 16.0
20231007181238, 10369, 13187, 16.0
20231007181238, 18787, 9599, 16.0
20231007181238, 6949, 16215, 16.0
20231007181238, 57901, 11606, 16.0
20231007181238, 21557, 15255, 16.0
20231007181238, 25733, 8543, 17.0
20231007181238, 23057, 13270, 17.0
20231007181238, 2677, 7254, 18.0
20231007181238, 37447, 9582, 18.0
20231007181238, 46439, 6491, 18.0
20231007181238, 26669, 13146, 18.0
20231007181238, 41399, 4814, 18.0
20231007181238, 16519, 15187, 18.0
20231007181238, 21031, 7667, 18.0
20231007181238, 53299, 5590, 18.0
20231007181238, 4007, 12154, 19.0
20231007181238, 35869, 7027, 19.0
20231007181238, 55313, 7902, 19.0
20231007181238, 22531, 12638, 19.0
20231007181238, 47287, 15706, 19.0
20231007181238, 22993, 15738, 19.0
20231007181238, 32933, 9157, 20.0
20231007181238, 54469, 10718, 20.0
20231007181238, 5189, 13287, 20.0
20231007181238, 52051, 15835, 20.0
20231007181238, 51719, 6495, 20.0
20231007181238, 20743, 1151, 20.0
20231007181238, 52291, 8566, 20.0
20231007181238, 53891, 15135, 20.0
20231007181238, 26821, 7483, 21.0
20231007181238, 43201, 13603, 21.0
20231007181238, 6151, 15354, 21.0
20231007181238, 24953, 16371, 21.0
20231007181238, 36373, 6430, 21.0
20231007181238, 34273, 5470, 21.0
20231007181238, 16451, 11258, 21.0
20231007181238, 19979, 13022, 21.0
20231007181238, 6473, 10623, 21.0
20231007181238, 25171, 11127, 22.0
20231007181238, 65173, 14091, 22.0
20231007181238, 44617, 13722, 22.0
20231007181238, 18979, 14663, 23.0
20231007181238, 28771, 11745, 23.0
20231007181238, 59399, 13814, 23.0
20231007181238, 32869, 8046, 23.0
20231007181238, 1669, 14155, 23.0
20231007181238, 19013, 13387, 23.0
20231007181238, 22741, 5983, 24.0
20231007181238, 103, 16215, 24.0
20231007181238, 58573, 14802, 24.0
20231007181238, 23041, 14814, 25.0
20231007181238, 10247, 3314, 25.0
20231007181238, 20773, 7901, 25.0
20231007181238, 4357, 12127, 25.0
20231007181238, 34019, 9055, 26.0
20231007181238, 15107, 5743, 27.0
20231007181238, 32327, 9183, 27.0
20231007181238, 129037, 1490, 10.0
20231007181238, 82903, 7007, 10.0
20231007181238, 66067, 6491, 16.0
20231007181238, 90371, 13787, 16.0
20231007181238, 77377, 9724, 16.0
20231007181238, 72223, 5444, 17.0
20231007181238, 127877, 9598, 17.0
20231007181238, 110849, 13103, 17.0
20231007181238, 68213, 7254, 18.0
20231007181238, 102983, 9582, 18.0
